65,34,1,0,0,0,0,0,23,53,21,3,0,0,0,0,33,45,15,6,1,0,0,0,-1
92,8,0,0,0,0,0,0,66,33,1,0,0,0,0,0,71,24,5,0,0,0,0,0,-1
39,61,0,0,0,0,0,0,7,71,22,0,0,0,0,0,4,77,19,0,0,0,0,0,-1
43,57,0,0,0,0,0,0,25,55,19,1,0,0,0,0,27,57,16,0,0,0,0,0,-1
42,57,1,0,0,0,0,0,16,68,11,5,0,0,0,0,36,52,12,0,0,0,0,0,-1
20,40,30,5,1,1,1,2,12,42,35,5,3,2,1,0,31,39,19,9,1,1,0,0,-1
47,30,9,3,3,2,0,6,40,31,11,6,4,2,2,4,52,29,4,2,3,3,4,3,-1
16,30,18,8,9,9,2,8,10,28,23,16,6,8,1,8,14,39,14,9,10,7,2,5,-1
1,1,2,11,5,9,13,58,0,3,8,9,8,7,10,55,6,3,6,6,8,6,10,55,-1
0,0,0,0,0,0,4,96,0,0,0,0,0,0,2,98,0,1,0,1,0,1,2,95,-1
0,0,1,2,1,1,2,93,0,0,0,0,1,1,3,95,0,0,1,1,3,0,1,94,-1
0,0,0,0,1,12,16,71,0,0,0,0,2,13,14,71,0,0,0,9,9,9,10,63,-1
0,12,14,26,5,9,7,27,0,1,10,17,24,14,7,27,0,5,13,26,22,11,4,19,-1
31,44,10,10,2,1,2,0,13,44,27,14,2,0,0,0,27,45,18,8,2,0,0,0,-1
81,19,0,0,0,0,0,0,11,80,6,3,0,0,0,0,53,39,4,0,2,2,0,0,-1
98,2,0,0,0,0,0,0,65,35,0,0,0,0,0,0,82,18,0,0,0,0,0,0,-1
100,0,0,0,0,0,0,0,88,12,0,0,0,0,0,0,95,5,0,0,0,0,0,0,-1
100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-1
99,1,0,0,0,0,0,0,80,20,0,0,0,0,0,0,93,7,0,0,0,0,0,0,-1
100,0,0,0,0,0,0,0,88,12,0,0,0,0,0,0,98,2,0,0,0,0,0,0,-1
100,0,0,0,0,0,0,0,95,5,0,0,0,0,0,0,98,2,0,0,0,0,0,0,-1
78,22,0,0,0,0,0,0,90,10,0,0,0,0,0,0,91,9,0,0,0,0,0,0,-1
28,70,2,0,0,0,0,0,30,64,5,1,0,0,0,0,45,41,12,2,0,0,0,0,-1
86,14,0,0,0,0,0,0,85,15,0,0,0,0,0,0,82,18,0,0,0,0,0,0,-1
97,3,0,0,0,0,0,0,98,2,0,0,0,0,0,0,92,8,0,0,0,0,0,0,-1
89,11,0,0,0,0,0,0,90,10,0,0,0,0,0,0,88,12,0,0,0,0,0,0,-1
72,28,0,0,0,0,0,0,58,42,0,0,0,0,0,0,65,35,0,0,0,0,0,0,-1
